Name,GeneId (Phytozome),Locus,Class,Chromosome,Start,End,Length (aa),MW (kDa),pI,Instability,Aliphatic,GRAVY,Localisation,Sub-isoform of,Old name (chapter)
QrLBD24,Qurub.06G081500.1,Qurub.06G081500,Class IIb,LG6,13865606,13866888,219,24051.39,8.44,64.77,71.64,-0.345,C:nucleus,,QrLBD23
QrLBD25,Qurub.07G061200.1,Qurub.07G061200,Class Id,LG7,15605608,15607631,234,25432.61,7.12,63.33,77.61,-0.293,Nucleus,,QrLBD26
QrLBD26,Qurub.08G160300.1,Qurub.08G160300,Class Ie,LG8,39077478,39081096,221,24308.16,7.66,32.39,64.84,-0.615,Nucleus,,QrLBD28
QrLBD27,Qurub.08G185800.1,Qurub.08G185800,Class Ia,LG8,43716951,43718110,177,19920.02,5.24,53.11,92.03,-0.086,C:nucleus,,QrLBD29
QrLBD28,Qurub.08G217900.1,Qurub.08G217900,Class Id,LG8,49680074,49683948,241,24823.17,8.19,71.13,71.66,-0.124,Nucleus,,QrLBD30
QrLBD29,Qurub.08G218000.1,Qurub.08G218000,Class Id,LG8,49705425,49709540,204,22304.27,7.13,55.95,77.01,-0.219,C:nucleus,,QrLBD31
QrLBD30,Qurub.08G266300.1,Qurub.08G266300,Class Id,LG8,57030507,57031302,219,23869.82,5.4,42.06,80.27,-0.139,C:nucleus,,QrLBD32
QrLBD31,Qurub.08G288800.1,Qurub.08G288800,Class Ib,LG8,60126853,60127895,177,19666.39,8.83,63.22,75.03,-0.268,Nucleus,,QrLBD33
QrLBD32,Qurub.08G291100.1,Qurub.08G291100,Class Ia,LG8,60374246,60375342,165,18384.99,6.27,56.33,76.79,-0.184,C:nucleus,,QrLBD34
QrLBD33,Qurub.08G295100.1,Qurub.08G295100,Class Ic,LG8,60995106,60997054,227,24916.11,8.6,73.67,64.54,-0.512,Nucleus,,QrLBD35
QrLBD34,Qurub.09G077600.1,Qurub.09G077600,Class Ic,LG9,13010549,13011278,158,17824.02,5.74,62.11,77.22,-0.399,Nucleus,,QrLBD36
QrLBD35,Qurub.09G108800.1,Qurub.09G108800,Class Id,LG9,19142895,19143705,232,25575.27,5.44,56.33,62.33,-0.435,Nucleus,,QrLBD37
QrLBD36,Qurub.09G166700.1,Qurub.09G166700,Class Id,LG9,34623118,34624803,210,22875.19,8,62.63,74.86,-0.174,C:nucleus,,QrLBD38
QrLBD37,Qurub.09G166800.1,Qurub.09G166800,Class Id,LG9,34651009,34651820,232,25625.45,6.7,59.92,62.33,-0.429,Nucleus,,QrLBD39
QrLBD38,Qurub.10G119300.1,Qurub.10G119300,Class IIa,LG10,34587921,34589622,261,28228.87,6.32,39.79,80.77,-0.318,C:nucleus,,QrLBD40
QrLBD39,Qurub.10G169600.1,Qurub.10G169600,Class Ie,LG10,44430689,44432165,290,32760.48,5.46,56.96,73.07,-0.561,C:nucleus,,QrLBD41
QrLBD40,Qurub.10G195300.1,Qurub.10G195300,Class Ib,LG10,50541000,50543355,191,21072.92,6.89,62.26,65.92,-0.455,C:nucleus,,QrLBD42
QrLBD40.1,Qurub.10G195300.2,Qurub.10G195300,Class Ib,LG10,50541000,50543355,191,21072.92,6.89,62.26,65.92,-0.455,C:nucleus,QrLBD40,QrLBD42.1
QrLBD41,Qurub.11G111700.1,Qurub.11G111700,Class IIb,LG11,24004422,24005201,221,23889.47,9.06,58.24,81.63,-0.193,C:nucleus,,QrLBD43
QrLBD42,Qurub.12G179700.1,Qurub.12G179700,Class IIb,LG12,33703949,33705582,207,22425.67,8.12,43,74.01,-0.008,C:chloroplast,,QrLBD44
